PokerStars Tournament #3339171319, No Limit Hold'em
  667: roman1635 [2] (Ukraine), $2.28 (0.031%)
  668: BigBa40 (Bulgaria), $2.28 (0.031%)
  669: Rounder8325 (Greece), $2.28 (0.031%)
  670: Ovcharovas (Russia), $2.28 (0.031%)
  671: Frost 769 (Russia), $2.28 (0.031%)
  672: kayala.rus [2] (Russia), $2.28 (0.031%)
  673: mhugom (Argentina), $2.28 (0.031%)
  674: harleypapa80 [2] (Belarus), $2.28 (0.031%)
  675: Spice_est [2] (Belarus), $2.28 (0.031%)
  676: diavoleon20 (Argentina), $2.28 (0.031%)
  677: Negrov22 (Argentina), $2.28 (0.031%)
  678: lucian110 (Romania), $2.28 (0.031%)
  679: Eddy68494 (Germany), $2.28 (0.031%)
  680: Hellvin_10 [2] (Brazil), $2.28 (0.031%)
  681: humhum1111 (Russia), $2.28 (0.031%)
  682: cguille1990 [2] (Argentina), $2.28 (0.031%)
  683: FischerH2211 (Germany), $2.28 (0.031%)
  684: Egorkin21 (Ukraine), $2.28 (0.031%)
  685: ZLODEY_911 (Georgia), $2.28 (0.031%)
  686: tillayew (Russia), $2.28 (0.031%)
  687: Cerezza (Argentina), $2.28 (0.031%)
  688: nicci-lynn88 [3] (Canada), $2.28 (0.031%)
  689: Podyto (Belarus), $2.28 (0.031%)
  690: shypp777 (Belgium), $2.28 (0.031%)
  691: Redoxzx (Belarus), $2.28 (0.031%)
  692: Asso30 (Germany), $2.28 (0.031%)
  693: Alex Murakam (Brazil), $2.28 (0.031%)
  694: instacrit (Bulgaria), $2.28 (0.031%)
  695: vanek_0122 (Russia), $2.28 (0.031%)
  696: deucesofclub (Canada), $2.28 (0.031%)
  697: mati_orzi (Germany), $2.28 (0.031%)
  698: DemonOfDawn (Brazil), $2.28 (0.031%)
  699: Trésorier (Belgium), $2.28 (0.031%)
  700: Jonny510 [3] (Germany), $2.28 (0.031%)
  701: YourKicker78 (Germany), $2.28 (0.031%)
  702: igoacunha (Brazil), $2.28 (0.031%)
  703: anjo783 (Sweden), $2.28 (0.031%)
  704: tsiprasalex (Greece), $2.28 (0.031%)
  705: vladislav739 (Czech Republic), $2.28 (0.031%)
  706: messa333 (Belgium), $2.28 (0.031%)
  707: Fimo58 (Canada), $2.28 (0.031%)
  708: zhukoff74 (Russia), $2.28 (0.031%)
  709: nN176nMH [2] (Estonia), $2.28 (0.031%)
  710: Spyman0788 [2] (United Kingdom), $2.28 (0.031%)
  711: 2chance2 [2] (Ukraine), $2.28 (0.031%)
  712: Raskin58rus (Russia), $2.28 (0.031%)
  713: BlackCobra61 (Germany), $2.28 (0.031%)
  714: valera85547 (Russia), $2.28 (0.031%)
  715: Ciplodok97 [2] (Russia), $2.28 (0.031%)
  716: Lunk007 (Sweden), $2.28 (0.031%)
  717: COPOKA V. (Ukraine), $2.28 (0.031%)
  718: Musicbrother (Germany), $2.28 (0.031%)
  719: AudemarsPiguet1 (Russia), $2.28 (0.031%)
  720: brazmt (Brazil), $2.28 (0.031%)
  721: BlackLineArm (Russia), $2.28 (0.031%)
  722: Jirda21 [3] (Czech Republic), $2.28 (0.031%)
  723: oury2652 (Morocco), $2.28 (0.031%)
  724: caH4ella25 (Russia), $2.28 (0.031%)
  725: V12DnD [2] (Romania), $2.28 (0.031%)
  726: CubaseGR (Greece), $2.28 (0.031%)
  727: satorihanzo89 (Brazil), $2.28 (0.031%)
  728: amateur745 [2] (Belgium), $2.28 (0.031%)
  729: mamontovsky2 (Russia), $2.28 (0.031%)
  730: 288888888 (Philippines), $2.28 (0.031%)
  731: spaceman9646 (Canada), $2.28 (0.031%)
  732: topete0712 (Brazil), $2.28 (0.031%)
  733: AKaJustinKGB (Canada), $2.28 (0.031%)
  734: lime711 (Romania), $2.28 (0.031%)
  735: Vart.art [2] (Russia), $2.28 (0.031%)
  736: vadimfedoroff (Russia), $2.28 (0.031%)
  737: 0bjective (Belgium), $2.28 (0.031%)
  738: fanvelikolepniy (Russia), $2.28 (0.031%)
  739: Nick Sanych 12 (Russia), $2.28 (0.031%)
  740: daz_irl (Ireland), $2.28 (0.031%)
  741: sledge 18 (Ireland), $2.28 (0.031%)
  742: zzhivkov (United Kingdom), $2.28 (0.031%)
  743: Csilla19690608@ [2] (Hungary), $2.28 (0.031%)
  744: diprotodon (Russia), $2.28 (0.031%)
  745: samppaasd (Finland), $2.28 (0.031%)
  746: Slava_yummy (Russia), $2.28 (0.031%)
  747: Harz4Hansi [2] (Germany), $2.28 (0.031%)
  748: sauvage616 (Ukraine), $2.28 (0.031%)
  749: IvanMasterX (Venezuela), $2.28 (0.031%)
  750: 24milvus11 [2] (Germany), $2.28 (0.031%)
  751: BizzTheWhizz (Denmark), $2.28 (0.031%)
  752: Thestrup99 (Denmark), $2.28 (0.031%)
  753: krookdGen (Canada), $2.28 (0.031%)
  754: RockNroll988 (Greece), $2.28 (0.031%)
  755: ARS12800 (Kazakhstan), $2.28 (0.031%)
  756: Thaitapsen [3] (Germany), $2.28 (0.031%)
  757: hulk~2s3s [3] (Greece), $2.28 (0.031%)
  758: Marvoa (United Kingdom), $2.28 (0.031%)
  759: GriCar [2] (Slovenia), $2.28 (0.031%)
  760: Cocomdq186 (Argentina), $2.28 (0.031%)
  761: Clark118 (Slovakia), $2.28 (0.031%)
  762: Blerim001 [2] (Germany), $2.28 (0.031%)
  763: vitrin2891 (Russia), $2.28 (0.031%)
  764: Malikocka139 [2] (Croatia), $2.28 (0.031%)
  765: Congrat$ [2] (Brazil), $2.28 (0.031%)
  766: ronoly [2] (United Kingdom), $2.28 (0.031%)
  767: effe1123 [2] (Sweden), $2.28 (0.031%)
  768: NChekos92 (Uzbekistan), $1.91 (0.026%)
  769: aggressive1555 (Russia), $1.91 (0.026%)
  770: napaHouk775 (Russia), $1.91 (0.026%)
  771: dimitris29 (Greece), $1.91 (0.026%)
  772: ocopoco57 [3] (Slovakia), $1.91 (0.026%)
  773: font377 [2] (New Zealand), $1.91 (0.026%)
  774: moise1610 (Romania), $1.91 (0.026%)
  775: obiVkenobi (Bulgaria), $1.91 (0.026%)
  776: HeCk}l{y04 (Russia), $1.91 (0.026%)
  777: J4nniX1337 [2] (Germany), $1.91 (0.026%)
  778: mhyuuga (Brazil), $1.91 (0.026%)
  779: pokeroki (Denmark), $1.91 (0.026%)
  780: muskokan (Canada), $1.91 (0.026%)
  781: Hoffe777 [3] (Germany), $1.91 (0.026%)
  782: mingi mees (Estonia), $1.91 (0.026%)
  783: frazmatazzzz (United Kingdom), $1.91 (0.026%)
  784: Egor_bugor35 [3] (Russia), $1.91 (0.026%)
  785: Flushfish18 (Switzerland), $1.91 (0.026%)
  786: VitalyRostov (Russia), $1.91 (0.026%)
  787: goldbug1938 (Canada), $1.91 (0.026%)
  788: AccacuH (Russia), $1.91 (0.026%)
  789: theo0401 (Brazil), $1.91 (0.026%)
  790: tom10gem8 (United Kingdom), $1.91 (0.026%)
  791: clifeer (Russia), $1.91 (0.026%)
  792: Sam'Silent'B (United Kingdom), $1.91 (0.026%)
  793: matchester (Russia), $1.91 (0.026%)
  794: SolomonStar (United Kingdom), $1.91 (0.026%)
  795: joshnorton96 (United Kingdom), $1.91 (0.026%)
  796: arh1997 (Russia), $1.91 (0.026%)
  797: t1agowidal [2] (Brazil), $1.91 (0.026%)
  798: CLN97 (Romania), $1.91 (0.026%)
  799: Vyazemskiy76 (Russia), $1.91 (0.026%)
  800: adieordonna [2] (United Kingdom), $1.91 (0.026%)
  801: GugaBHBRA (Brazil), $1.91 (0.026%)
  802: unsulrich (Germany), $1.91 (0.026%)
  803: Huzeldino (Germany), $1.91 (0.026%)
  804: AAmichiAA (Germany), $1.91 (0.026%)
  805: Anton86US (Germany), $1.91 (0.026%)
  806: munyc]ona4ku [2] (Russia), $1.91 (0.026%)
  807: Knobben77 (Germany), $1.91 (0.026%)
  808: vongericke (Germany), $1.91 (0.026%)
  809: froggy77731 (Ukraine), $1.91 (0.026%)
  810: Kartnuar [3] (Russia), $1.91 (0.026%)
  811: NicollsK (Brazil), $1.91 (0.026%)
  812: mindfuxk (Canada), $1.91 (0.026%)
  813: jsilva25 [2] (Brazil), $1.91 (0.026%)
  814: BigSmellyJobby (United Kingdom), $1.91 (0.026%)
  815: Sergius_ssl (Russia), $1.91 (0.026%)
  816: 51chipman (Canada), $1.91 (0.026%)
  817: jrm1964 (Canada), $1.91 (0.026%)
  818: nik07son (Ukraine), $1.91 (0.026%)
  819: vanillasin70 (Germany), $1.91 (0.026%)
  820: gusar4ik (Russia), $1.91 (0.026%)
  821: RomanVitalic (Azerbaijan), $1.91 (0.026%)
  822: rustotik (Russia), $1.91 (0.026%)
  823: KrestonosecI (Ukraine), $1.91 (0.026%)
  824: WAS73 (Canada), $1.91 (0.026%)
  825: ARA61RUS (Russia), $1.91 (0.026%)
  826: XOK 1962 (Russia), $1.91 (0.026%)
  827: conexao38 (Brazil), $1.91 (0.026%)
  828: Danbo635 [3] (Canada), $1.91 (0.026%)
  829: Dmitry20279 (Russia), $1.91 (0.026%)
  830: The1Carpenter (Ireland), $1.91 (0.026%)
  831: EV0ll0VE [2] (Argentina), $1.91 (0.026%)
  832: mr.cuslya (Russia), $1.91 (0.026%)
  833: Olivka523 (Ukraine), $1.91 (0.026%)
  834: dallgow39 (Germany), $1.91 (0.026%)
  835: tehAngel (Romania), $1.91 (0.026%)
  836: axblow (Russia), $1.91 (0.026%)
  837: Tamer980 (Kazakhstan), $1.91 (0.026%)
  838: Mahatmagandh [3] (Germany), $1.91 (0.026%)
  839: 26kirill [2] (Russia), $1.91 (0.026%)
  840: 874HP (Germany), $1.91 (0.026%)
  841: RandomeXO (Russia), $1.91 (0.026%)
  842: Toepi75 (Germany), $1.91 (0.026%)
  843: AbbyHawks (Canada), $1.91 (0.026%)
  844: Kamacosby (Canada), $1.91 (0.026%)
  845: Rico8663 (Germany), $1.91 (0.026%)
  846: korona14 (Poland), $1.91 (0.026%)
  847: rambler111 (Russia), $1.91 (0.026%)
  848: bergjr22 [2] (Brazil), $1.91 (0.026%)
  849: Chiilum (Denmark), $1.91 (0.026%)
  850: AMululo [2] (Brazil), $1.91 (0.026%)
  851: nostradam777 (Romania), $1.91 (0.026%)
  852: Ihatebingo (Canada), $1.91 (0.026%)
  853: JuliaA59 (Russia), $1.91 (0.026%)
  854: kunkun22956 (Argentina), $1.91 (0.026%)
  855: FatPudov (Russia), $1.91 (0.026%)
  856: varssa (Brazil), $1.91 (0.026%)
  857: diablo1385 (Argentina), $1.91 (0.026%)
  858: bmwe46614 (Lithuania), $1.91 (0.026%)
  859: frezzyn (Czech Republic), $1.91 (0.026%)
  860: PHILLIPS1266 [3] (Canada), $1.91 (0.026%)
  861: tasisilia (Greece), $1.91 (0.026%)
  862: allytaly (Romania), $1.91 (0.026%)
  863: chaparritaaa (Mexico), $1.91 (0.026%)
  864: abdu7707 (Uzbekistan), $1.91 (0.026%)
  865: colegu04 (Romania), $1.91 (0.026%)
  866: smile1 (Canada), $1.91 (0.026%)
  867: kingleaz (Sweden), $1.91 (0.026%)
  868: Argetlam122 (Poland), $1.91 (0.026%)
  869: ADMuRAJI (Belarus), $1.91 (0.026%)
  870: 25santos163 [2] (Slovakia), $1.91 (0.026%)
  871: nauulfal [2] (Brazil), $1.91 (0.026%)
  872: george_68865 (Romania), $1.91 (0.026%)
  873: OMGAAAA [2] (Russia), $1.91 (0.026%)
  874: Magdrabud (United Kingdom), $1.91 (0.026%)
  875: AnnieOakley7 (Canada), $1.91 (0.026%)
  876: mau_cabral24 (Brazil), $1.91 (0.026%)
  877: Partorg (Latvia), $1.91 (0.026%)
  878: rolf2323 [2] (Norway), $1.91 (0.026%)
  879: 5*LFC [2] (United Kingdom), $1.91 (0.026%)
  880: Hasanovich_1973 (Russia), $1.91 (0.026%)
  881: giomel3000 (Belgium), $1.91 (0.026%)
  882: Dau64Mortala (Romania), $1.91 (0.026%)
  883: GAARUDAAS (Sweden), $1.91 (0.026%)
  884: zs1406 (Ukraine), $1.91 (0.026%)
  885: Masej91 [2] (Montenegro), $1.91 (0.026%)
  886: wbazilio (Brazil), $1.91 (0.026%)
  887: Holger&Finn (Denmark), $1.91 (0.026%)
  888: fil1977ov (Russia), $1.91 (0.026%)
  889: mariuta79 (Romania), $1.91 (0.026%)
  890: Hani785 [3] (Ukraine), $1.91 (0.026%)
  891: BluesShark (Brazil), $1.91 (0.026%)
  892: Malikcan (Germany), $1.91 (0.026%)
  893: PC Mello2 (Brazil), $1.91 (0.026%)
  894: tara978744 [2] (Ireland), $1.91 (0.026%)
  895: BSNandPS (Russia), $1.91 (0.026%)
  896: Boelii24 (Belgium), $1.91 (0.026%)
  897: Paguu (Bulgaria), $1.91 (0.026%)
  898: Trotsijs (Latvia), $1.91 (0.026%)
  899: Aversyug (Ukraine), $1.91 (0.026%)
  900: faragex (Brazil), $1.91 (0.026%)
  901: Floare2013 (Romania), $1.91 (0.026%)
  902: Gabr Ribeiro (Brazil), $1.91 (0.026%)
  903: Olnes1968 [2] (Russia), $1.91 (0.026%)
  904: Momomo29 [2] (United Kingdom), $1.91 (0.026%)
  905: sesvin [2] (Greece), $1.91 (0.026%)
  906: jokyns (Russia), $1.91 (0.026%)
  907: mefisnt (Russia), $1.91 (0.026%)
  908: Xelfee (Russia), $1.91 (0.026%)
  909: jaaaaaaab (Denmark), $1.91 (0.026%)
  910: markyp44 (Isle Of Man), $1.91 (0.026%)
  911: Gogaxy (Austria), $1.91 (0.026%)
  912: slovenas (Lithuania), $1.91 (0.026%)
  913: Gerpidon (Ukraine), $1.91 (0.026%)
  914: daniel2804 (Germany), $1.91 (0.026%)
  915: robinho2520 [2] (Belgium), $1.91 (0.026%)
  916: abubnost [2] (Bulgaria), $1.91 (0.026%)
  917: howgreatim (Germany), $1.91 (0.026%)
  918: miknik2020 [2] (United Kingdom), $1.91 (0.026%)
  919: fromeh2zed7 [3] (Canada), $1.91 (0.026%)
  920: Anakondon (Poland), $1.91 (0.026%)
  921: KntRikard0 [2] (Romania), $1.91 (0.026%)
  922: Marcelo Edson (Brazil), $1.91 (0.026%)
  923: JcMoneyBaby [2] (United Kingdom), $1.91 (0.026%)
  924: Ali-Pokerist (Russia), $1.91 (0.026%)
  925: Wilditaliano (United Kingdom), $1.91 (0.026%)
  926: izamar423 [2] (Georgia), $1.91 (0.026%)
  927: CJGRISAFI (Canada), $1.91 (0.026%)
  928: Jim'sb@ck [2] (Romania), $1.91 (0.026%)
  929: Alesii (Belarus), $1.91 (0.026%)
  930: elzauzonka (Hungary), $1.91 (0.026%)
  931: gugupyra (Brazil), $1.91 (0.026%)
  932: omoreno013 (Mexico), $1.91 (0.026%)
  933: heidimt291 (Canada), $1.91 (0.026%)
  934: russsla1977 [3] (Russia), $1.91 (0.026%)
  935: daniellatka (Slovakia), $1.91 (0.026%)
  936: ZeK -JuGLa- (Latvia), $1.91 (0.026%)
  937: user_dgc (Bulgaria), $1.91 (0.026%)
  938: ph_boxer [2] (Russia), $1.91 (0.026%)
  939: larspö (Germany), $1.91 (0.026%)
  940: Maxp40 (Ukraine), $1.91 (0.026%)
  941: ALLION 2011 (Russia), $1.91 (0.026%)
  942: P0cketQuads (United Kingdom), $1.91 (0.026%)
  943: evaai [2] (Belgium), $1.91 (0.026%)
  944: ivan perovo [2] (Russia), $1.91 (0.026%)
  945: Kursik21 (Poland), $1.91 (0.026%)
  946: Rowli89 [2] (United Kingdom), $1.91 (0.026%)
  947: muxxx333 (Chile), $1.91 (0.026%)
  948: AleksKho (Ukraine), $1.91 (0.026%)
  949: Sima444 (Russia), $1.91 (0.026%)
  950: Onegin99 (Russia), $1.91 (0.026%)
  951: Fiswol (Russia), $1.91 (0.026%)
  952: railwayman63 (United Kingdom), $1.91 (0.026%)
  953: LaiskaLasse (Finland), $1.91 (0.026%)
  954: MiracleVE (Peru), $1.91 (0.026%)
  955: v.iuganson (Ukraine), $1.91 (0.026%)
  956: awfulz [2] (Lithuania), $1.91 (0.026%)
  957: belyashev1ch (Belarus), $1.91 (0.026%)
  958: Faizulin Air (Russia), $1.91 (0.026%)
  959: progreees (Russia), $1.91 (0.026%)
  960: eckemekniven (Sweden), $1.91 (0.026%)
  961: kerus863 (Russia), $1.91 (0.026%)
  962: maynekaspar6 (Latvia), $1.91 (0.026%)
  963: lifanov_1589 (Russia), $1.91 (0.026%)
  964: slaboDa? (Russia), $1.91 (0.026%)
  965: Gnukles (Russia), $1.91 (0.026%)
  966: big zubdguda (Russia), $1.91 (0.026%)
  967: gonja (Denmark), $1.91 (0.026%)
  968: Staintjes (Belgium), $1.91 (0.026%)
  969: fam007007 (Belarus), $1.91 (0.026%)
  970: kerf09 [2] (Kyrgyzstan), $1.91 (0.026%)
  971: qperept (Russia), $1.91 (0.026%)
  972: DarkSkies21 (Brazil), $1.91 (0.026%)
  973: K B V82 (Belarus), $1.91 (0.026%)
  974: PrasePig (Czech Republic), $1.91 (0.026%)
  975: calmcalamity [2] (Denmark), $1.91 (0.026%)
  976: Mamaherz40 [2] (Germany), $1.91 (0.026%)
  977: uwe_der [2] (Germany), $1.91 (0.026%)
  978: CamillaSally (Denmark), $1.91 (0.026%)
  979: forestmar1 [3] (Romania), $1.91 (0.026%)
  980: zibo8558 (Ukraine), $1.91 (0.026%)
  981: ptica43 (Russia), $1.91 (0.026%)
  982: rusty2w [2] (Canada), $1.91 (0.026%)
  983: mountainboyx (Canada), $1.91 (0.026%)
  984: fugz_1ch (Estonia), $1.91 (0.026%)
  985: kesetiaan.rc (Argentina), $1.91 (0.026%)
  986: IF95 (Ukraine), $1.91 (0.026%)
  987: Trifan7331 (Moldova), $1.91 (0.026%)
  988: baykid1960 (Canada), $1.91 (0.026%)
  989: lino_bulldog (Belgium), $1.91 (0.026%)
  990: Alekseich A (Russia), $1.91 (0.026%)
  991: possessed2 (Canada), $1.91 (0.026%)
  992: dion180 (United Kingdom), $1.91 (0.026%)
  993: dkaz99 (Greece), $1.91 (0.026%)
  994: modafinilcat [2] (United Kingdom), $1.91 (0.026%)
  995: Dodziukaz (Lithuania), $1.91 (0.026%)
  996: ramioner (Germany), $1.91 (0.026%)
  997: alexisskY [2] (Germany), $1.91 (0.026%)
  998: baytunali [2] (Germany), $1.91 (0.026%)
  999: fateevpv (Russia), $1.91 (0.026%)
  1000: pio-best (Russia), $1.91 (0.026%)
  1001: Alex94123 (Russia), $1.91 (0.026%)
  1002: deluxe1904 (Germany), $1.91 (0.026%)
  1003: domter69 (Ukraine), $1.91 (0.026%)
  1004: ILoveFly (Russia), $1.91 (0.026%)
  1005: Baben95 (Russia), $1.91 (0.026%)
  1006: ApesAreFun [2] (Norway), $1.91 (0.026%)
  1007: Aleksei447 (Russia), $1.91 (0.026%)
  1008: 3EBC 8 (Ukraine), $1.91 (0.026%)
  1009: yasiniset [2] (Germany), $1.91 (0.026%)
  1010: zombie820 (Germany), $1.91 (0.026%)
  1011: sergei36420 (Russia), $1.91 (0.026%)
  1012: D1Sokolov [3] (Russia), $1.91 (0.026%)
  1013: sieupeaici (United Kingdom), $1.91 (0.026%)
  1014: spartacus1717 (Malta), $1.91 (0.026%)
  1015: XRIZOPRAZ [2] (Belarus), $1.91 (0.026%)
  1016: fountain155 (United Kingdom), $1.91 (0.026%)
  1017: kisszatyi (Hungary), $1.91 (0.026%)
  1018: Waumex (Belarus), $1.91 (0.026%)
  1019: LouisMcc1 (United Kingdom), $1.91 (0.026%)
  1020: Shvecerman (Ukraine), $1.91 (0.026%)
  1021: NNZ77 [3] (Germany), $1.91 (0.026%)
  1022: Marada1982 (Brazil), $1.91 (0.026%)
  1023: stormas21 (Norway), $1.91 (0.026%)
